Lambda : 0.1, AHC : 1, drop rate : 0
Lambda : 0.01, AHC : 3.4457831325301207, drop rate : 17
Lambda : 0.01, AHC : 3.4, drop rate : 25
Lambda : 0.01, AHC : 3.2528735632183907, drop rate : 13
Lambda : 0.01, AHC : 1.0, drop rate : 94
Lambda : 0.01, AHC : 3.295774647887324, drop rate : 29
Lambda : 0.01, AHC : 3.96, drop rate : 25
Lambda : 0.01, AHC : 2.7857142857142856, drop rate : 30
Lambda : 0.01, AHC : 4.0, drop rate : 29
Lambda : 0.01, AHC : 3.2058823529411766, drop rate : 32
Lambda : 0.01, AHC : 2.0, drop rate : 86
Lambda : 0.01, AHC : 4.151162790697675, drop rate : 14
Lambda : 0.01, AHC : 1.0, drop rate : 90
Lambda : 0.01, AHC : 3.3114754098360657, drop rate : 39
Lambda : 0.01, AHC : 1.0, drop rate : 90
Lambda : 0.01, AHC : 2.0, drop rate : 84
Lambda : 0.01, AHC : 3.3278688524590163, drop rate : 39
Lambda : 0.01, AHC : 2.0, drop rate : 79
Lambda : 0.01, AHC : 3.156862745098039, drop rate : 49
Lambda : 0.01, AHC : 2.3333333333333335, drop rate : 43
Lambda : 0.01, AHC : 2.0, drop rate : 79
Lambda : 0.01, AHC : 3.129032258064516, drop rate : 38
Lambda : 0.05, AHC : 1.0, drop rate : 0
Lambda : 0.05, AHC : 1.0, drop rate : 72
Lambda : 0.05, AHC : 5.0, drop rate : 80
Lambda : 0.05, AHC : 3.0952380952380953, drop rate : 58
Lambda : 0.05, AHC : 2.2413793103448274, drop rate : 42
Lambda : 0.05, AHC : 4.0, drop rate : 54
Lambda : 0.05, AHC : 3.4285714285714284, drop rate : 44
Lambda : 0.05, AHC : 2.5961538461538463, drop rate : 48
Lambda : 0.05, AHC : 2.857142857142857, drop rate : 72
Lambda : 0.05, AHC : 2.4545454545454546, drop rate : 67
Lambda : 0.05, AHC : 1.0, drop rate : 86
Lambda : 0.05, AHC : 2.0, drop rate : 93
Lambda : 0.05, AHC : 2.27027027027027, drop rate : 63
Lambda : 0.05, AHC : 3.28125, drop rate : 36
Lambda : 0.05, AHC : 1.0, drop rate : 95
Lambda : 0.05, AHC : 1.0, drop rate : 86
Lambda : 0.05, AHC : 3.156862745098039, drop rate : 49
Lambda : 0.05, AHC : 3.9019607843137254, drop rate : 49
Lambda : 0.05, AHC : 2.911111111111111, drop rate : 55
Lambda : 0.05, AHC : 2.0, drop rate : 94
Lambda : 0.05, AHC : 2.5555555555555554, drop rate : 55
Lambda : 0.05, AHC : 1.0, drop rate : 84
Lambda : 0.05, AHC : 2.0, drop rate : 91
Lambda : 0.05, AHC : 3.5, drop rate : 56
Lambda : 0.05, AHC : 1.0, drop rate : 95
Lambda : 0.05, AHC : 2.6382978723404253, drop rate : 53
Lambda : 0.05, AHC : 2.418181818181818, drop rate : 45
Lambda : 0.05, AHC : 1.0, drop rate : 81
Lambda : 0.05, AHC : 2.75, drop rate : 72
Lambda : 0.25, AHC : 5.0, drop rate : 51
Lambda : 0.25, AHC : 4.0, drop rate : 79
Lambda : 0.25, AHC : 2.0, drop rate : 84
Lambda : 0.25, AHC : 1.0, drop rate : 88
Lambda : 0.25, AHC : 2.3421052631578947, drop rate : 62
Lambda : 0.25, AHC : 1.0, drop rate : 78
Lambda : 0.25, AHC : 2.0, drop rate : 81
Lambda : 0.25, AHC : 3.0, drop rate : 95
Lambda : 0.25, AHC : 2.0, drop rate : 82
Lambda : 0.25, AHC : 2.0, drop rate : 93
Lambda : 0.25, AHC : 2.0, drop rate : 95
Lambda : 0.25, AHC : 2.0, drop rate : 86
Lambda : 0.25, AHC : 2.0, drop rate : 88
Lambda : 0.25, AHC : 2.0, drop rate : 92
Lambda : 0.25, AHC : 2.0, drop rate : 97
Lambda : 0.25, AHC : 2.111111111111111, drop rate : 91
Lambda : 0.25, AHC : 1.7333333333333334, drop rate : 85
Lambda : 0.25, AHC : 1.3571428571428572, drop rate : 86
Lambda : 0.25, AHC : 1.0, drop rate : 87
Lambda : 0.25, AHC : 2.0, drop rate : 85
Lambda : 0.8, AHC : 1.0, drop rate : 0
Lambda : 0.8, AHC : 2.0, drop rate : 50
Lambda : 0.8, AHC : 1.0, drop rate : 88
Lambda : 0.8, AHC : 2.0, drop rate : 79
Lambda : 0.8, AHC : 1.4666666666666666, drop rate : 70
Lambda : 0.8, AHC : 1.0, drop rate : 92
Lambda : 0.8, AHC : 1.2666666666666666, drop rate : 70
Lambda : 0.8, AHC : 2.8333333333333335, drop rate : 76
Lambda : 0.8, AHC : 2.5142857142857142, drop rate : 65
Lambda : 0.8, AHC : 1.5945945945945945, drop rate : 63
Lambda : 0.8, AHC : 1.0, drop rate : 84
Lambda : 0.8, AHC : 2.0, drop rate : 97
Lambda : 0.8, AHC : 1.0, drop rate : 97
Lambda : 0.8, AHC : 1.5333333333333334, drop rate : 85
Lambda : 0.8, AHC : 2.0, drop rate : 82
Lambda : 0.8, AHC : 1.2666666666666666, drop rate : 85
Lambda : 0.8, AHC : 1.0, drop rate : 93
Lambda : 0.8, AHC : 2.0, drop rate : 91
Lambda : 0.8, AHC : 1.1818181818181819, drop rate : 89
Lambda : 0.8, AHC : 1.2105263157894737, drop rate : 81
Lambda : 0.8, AHC : 2.0, drop rate : 86
Lambda : 0.8, AHC : 2.0, drop rate : 99
Lambda : 0.8, AHC : 2.0, drop rate : 99
Lambda : 0.8, AHC : 1.7894736842105263, drop rate : 81
Lambda : 0.8, AHC : 1.3461538461538463, drop rate : 74
Lambda : 0.8, AHC : 2.0, drop rate : 90
Lambda : 0.8, AHC : 1.4444444444444444, drop rate : 82
Lambda : 0.8, AHC : 2.8333333333333335, drop rate : 82
Lambda : 0.8, AHC : 1.0, drop rate : 92
Lambda : 0.8, AHC : 2.0, drop rate : 91
Lambda : 0.8, AHC : 2.0, drop rate : 94
Lambda : 0.8, AHC : 2.142857142857143, drop rate : 79
Lambda : 0.8, AHC : 2.263157894736842, drop rate : 81
Lambda : 0.8, AHC : 2.6153846153846154, drop rate : 48
Lambda : 0.8, AHC : 1.0, drop rate : 85
Lambda : 0.8, AHC : 1.92, drop rate : 75
Lambda : 0.8, AHC : 1.9473684210526316, drop rate : 81
Lambda : 0.8, AHC : 1.8333333333333333, drop rate : 76
Lambda : 0.8, AHC : 1.0, drop rate : 94
Lambda : 0.8, AHC : 3.43859649122807, drop rate : 43
Lambda : 0.8, AHC : 2.0, drop rate : 97
Lambda : 0.8, AHC : 2.719298245614035, drop rate : 43
Lambda : 0.8, AHC : 2.830188679245283, drop rate : 47
Lambda : 0.8, AHC : 2.9245283018867925, drop rate : 47
Lambda : 0.8, AHC : 2.4901960784313726, drop rate : 49
Lambda : 0.8, AHC : 2.0, drop rate : 91
Lambda : 0.8, AHC : 2.388888888888889, drop rate : 46
Lambda : 0.8, AHC : 2.0, drop rate : 96
Lambda : 0.8, AHC : 2.9545454545454546, drop rate : 56
Lambda : 0.8, AHC : 1.0, drop rate : 94
Lambda : 0.8, AHC : 3.4363636363636365, drop rate : 45
Lambda : 0.8, AHC : 2.8867924528301887, drop rate : 47
Lambda : 0.8, AHC : 3.127659574468085, drop rate : 53
Lambda : 0.8, AHC : 3.185185185185185, drop rate : 46
Lambda : 0.8, AHC : 2.0, drop rate : 94
Lambda : 0.8, AHC : 3.0, drop rate : 56
Lambda : 0.8, AHC : 2.0, drop rate : 96
Lambda : 0.8, AHC : 2.0, drop rate : 96
Lambda : 0.8, AHC : 3.1702127659574466, drop rate : 53
Lambda : 0.8, AHC : 3.574074074074074, drop rate : 46
Lambda : 0.8, AHC : 2.0, drop rate : 96
Lambda : 0.8, AHC : 3.6666666666666665, drop rate : 40
Lambda : 0.8, AHC : 2.0, drop rate : 89
Lambda : 0.8, AHC : 1.0, drop rate : 96
Lambda : 0.8, AHC : 2.0, drop rate : 97
Lambda : 0.8, AHC : 2.0, drop rate : 95
Lambda : 0.8, AHC : 2.0, drop rate : 90
Lambda : 0.8, AHC : 2.508771929824561, drop rate : 43
Lambda : 0.8, AHC : 1.95, drop rate : 80
Lambda : 0.8, AHC : 1.0, drop rate : 93
Lambda : 0.8, AHC : 2.62, drop rate : 50
Lambda : 0.8, AHC : 2.0, drop rate : 94
Lambda : 0.8, AHC : 2.0, drop rate : 93
Lambda : 0.8, AHC : 1.0, drop rate : 94
Lambda : 0.8, AHC : 1.7777777777777777, drop rate : 82
Lambda : 0.8, AHC : 1.0, drop rate : 94
Lambda : 0.8, AHC : 2.0, drop rate : 96
Lambda : 0.8, AHC : 2.5714285714285716, drop rate : 86
Lambda : 0.8, AHC : 1.75, drop rate : 80
Lambda : 0.8, AHC : 1.0, drop rate : 79
Lambda : 0.8, AHC : 1.0, drop rate : 75
Lambda : 0.8, AHC : 2.0, drop rate : 64
Lambda : 0.1, AHC : 2.0, drop rate : 87
Lambda : 0.1, AHC : 2.6129032258064515, drop rate : 69
Lambda : 0.1, AHC : 1.0, drop rate : 89
Lambda : 0.1, AHC : 2.0, drop rate : 79
Lambda : 0.1, AHC : 1.8846153846153846, drop rate : 74
Lambda : 0.1, AHC : 2.0, drop rate : 83
Lambda : 0.1, AHC : 2.0, drop rate : 76
Lambda : 0.1, AHC : 2.1875, drop rate : 68
Lambda : 0.1, AHC : 1.0, drop rate : 90
Lambda : 0.1, AHC : 1.7647058823529411, drop rate : 66
Lambda : 0.1, AHC : 2.0, drop rate : 90
Lambda : 0.1, AHC : 2.0, drop rate : 76
Lambda : 0.1, AHC : 2.0, drop rate : 75
Lambda : 0.1, AHC : 2.0, drop rate : 91
Lambda : 0.1, AHC : 2.25, drop rate : 76
Lambda : 0.1, AHC : 3.1538461538461537, drop rate : 61
Lambda : 0.1, AHC : 2.4210526315789473, drop rate : 62
Lambda : 0.1, AHC : 1.0, drop rate : 88
Lambda : 0.1, AHC : 2.125, drop rate : 68
Lambda : 0.1, AHC : 1.0, drop rate : 88
Lambda : 0.1, AHC : 2.0, drop rate : 90
Lambda : 0.1, AHC : 1.911764705882353, drop rate : 66
Lambda : 0.1, AHC : 4.388888888888889, drop rate : 64
Lambda : 0.1, AHC : 1.935483870967742, drop rate : 69
Lambda : 0.1, AHC : 3.3529411764705883, drop rate : 66
Lambda : 0.1, AHC : 2.926829268292683, drop rate : 59
Lambda : 0.1, AHC : 2.0, drop rate : 96
Lambda : 0.1, AHC : 3.0, drop rate : 63
Lambda : 0.1, AHC : 2.0, drop rate : 75
Lambda : 0.1, AHC : 2.0, drop rate : 91
Lambda : 0.1, AHC : 2.0, drop rate : 82
Lambda : 0.1, AHC : 2.72972972972973, drop rate : 63
Lambda : 0.1, AHC : 1.0, drop rate : 89
Lambda : 0.1, AHC : 2.35, drop rate : 60
Lambda : 0.1, AHC : 1.0, drop rate : 97
Lambda : 0.1, AHC : 2.0, drop rate : 89
Lambda : 0.1, AHC : 3.914285714285714, drop rate : 65
Lambda : 0.1, AHC : 2.5952380952380953, drop rate : 58
Lambda : 0.1, AHC : 2.0, drop rate : 96
Lambda : 0.1, AHC : 2.0, drop rate : 86
Lambda : 0.1, AHC : 2.1315789473684212, drop rate : 62
Lambda : 0.1, AHC : 2.0, drop rate : 85
Lambda : 0.1, AHC : 2.3, drop rate : 60
Lambda : 0.1, AHC : 2.0, drop rate : 91
Lambda : 0.1, AHC : 3.3181818181818183, drop rate : 56
Lambda : 0.1, AHC : 2.0, drop rate : 95
Lambda : 0.1, AHC : 2.3055555555555554, drop rate : 64
Lambda : 0.1, AHC : 2.0, drop rate : 92
Lambda : 0.1, AHC : 3.1219512195121952, drop rate : 59
Lambda : 0.1, AHC : 1.0, drop rate : 97
Lambda : 0.1, AHC : 2.0, drop rate : 89
Lambda : 0.1, AHC : 1.0, drop rate : 92
Lambda : 0.1, AHC : 2.289473684210526, drop rate : 62
Lambda : 0.1, AHC : 3.5348837209302326, drop rate : 57
Lambda : 0.1, AHC : 2.619047619047619, drop rate : 58
Lambda : 0.1, AHC : 2.0, drop rate : 80
Lambda : 0.1, AHC : 2.317073170731707, drop rate : 59
Lambda : 0.1, AHC : 2.0, drop rate : 83
Lambda : 0.1, AHC : 1.0, drop rate : 92
Lambda : 0.1, AHC : 2.261904761904762, drop rate : 58
Lambda : 0.1, AHC : 2.5, drop rate : 62
Lambda : 0.1, AHC : 2.0, drop rate : 92
Lambda : 0.1, AHC : 2.0, drop rate : 87
Lambda : 0.1, AHC : 2.3777777777777778, drop rate : 55
Lambda : 0.1, AHC : 2.4857142857142858, drop rate : 65
Lambda : 0.1, AHC : 2.0, drop rate : 86
Lambda : 0.1, AHC : 2.3783783783783785, drop rate : 63
Lambda : 0.1, AHC : 2.0, drop rate : 94
Lambda : 0.1, AHC : 2.0, drop rate : 97
Lambda : 0.1, AHC : 2.0, drop rate : 87
Lambda : 0.1, AHC : 2.033333333333333, drop rate : 70
Lambda : 0.1, AHC : 2.5833333333333335, drop rate : 64
Lambda : 0.1, AHC : 2.5652173913043477, drop rate : 54
Lambda : 0.1, AHC : 2.0, drop rate : 89
Lambda : 0.1, AHC : 2.0, drop rate : 94
Lambda : 0.1, AHC : 3.0652173913043477, drop rate : 54
Lambda : 0.1, AHC : 2.4318181818181817, drop rate : 56
Lambda : 0.1, AHC : 2.0, drop rate : 79
Lambda : 0.1, AHC : 3.8095238095238093, drop rate : 58
Lambda : 0.1, AHC : 3.736842105263158, drop rate : 43
Lambda : 0.1, AHC : 2.0, drop rate : 92
Lambda : 0.1, AHC : 1.0, drop rate : 99
Lambda : 0.1, AHC : 1.0, drop rate : 98
Lambda : 0.1, AHC : 1.0, drop rate : 97
Lambda : 0.1, AHC : 2.173076923076923, drop rate : 48
Lambda : 0.1, AHC : 2.71875, drop rate : 36
Lambda : 0.1, AHC : 3.5869565217391304, drop rate : 54
Lambda : 0.1, AHC : 2.3055555555555554, drop rate : 64
Lambda : 0.1, AHC : 2.0, drop rate : 89
Lambda : 0.25, AHC : 1.0, drop rate : 0
Lambda : 0.25, AHC : 2.0, drop rate : 55
Lambda : 0.25, AHC : 2.0, drop rate : 77
Lambda : 0.25, AHC : 2.5675675675675675, drop rate : 63
Lambda : 0.25, AHC : 1.9074074074074074, drop rate : 46
Lambda : 0.25, AHC : 3.2903225806451615, drop rate : 38
Lambda : 0.25, AHC : 3.608695652173913, drop rate : 31
Lambda : 0.25, AHC : 5.0, drop rate : 39
Lambda : 0.25, AHC : 2.7142857142857144, drop rate : 23
Lambda : 0.25, AHC : 2.0, drop rate : 68
Lambda : 0.25, AHC : 2.3174603174603177, drop rate : 37
Lambda : 0.25, AHC : 1.0, drop rate : 93
Lambda : 0.25, AHC : 2.0, drop rate : 94
Lambda : 0.25, AHC : 2.607843137254902, drop rate : 49
Lambda : 0.25, AHC : 3.1791044776119404, drop rate : 33
Lambda : 0.25, AHC : 2.0, drop rate : 88
Lambda : 0.25, AHC : 2.0, drop rate : 86
Lambda : 0.25, AHC : 2.7450980392156863, drop rate : 49
Lambda : 0.25, AHC : 2.0, drop rate : 94
Lambda : 0.25, AHC : 2.4035087719298245, drop rate : 43
Lambda : 0.25, AHC : 2.3333333333333335, drop rate : 43
Lambda : 0.25, AHC : 3.5, drop rate : 48
Lambda : 0.25, AHC : 2.0, drop rate : 85
Lambda : 0.25, AHC : 2.0, drop rate : 92
Lambda : 0.25, AHC : 2.423076923076923, drop rate : 48
Lambda : 0.25, AHC : 2.765957446808511, drop rate : 53
Lambda : 0.25, AHC : 2.0, drop rate : 91
Lambda : 0.25, AHC : 3.3404255319148937, drop rate : 53
Lambda : 0.25, AHC : 3.036363636363636, drop rate : 45
Lambda : 0.25, AHC : 2.5625, drop rate : 52
Lambda : 0.25, AHC : 3.260869565217391, drop rate : 54
Lambda : 0.25, AHC : 2.7142857142857144, drop rate : 44
Lambda : 0.25, AHC : 2.0, drop rate : 95
Lambda : 0.25, AHC : 2.8813559322033897, drop rate : 41
Lambda : 0.25, AHC : 2.9074074074074074, drop rate : 46
Lambda : 0.25, AHC : 2.4375, drop rate : 36
Lambda : 0.25, AHC : 2.0, drop rate : 84
Lambda : 0.25, AHC : 1.0, drop rate : 94
Lambda : 0.25, AHC : 1.0, drop rate : 91
Lambda : 0.25, AHC : 2.0, drop rate : 95
Lambda : 0.25, AHC : 2.0, drop rate : 80
Lambda : 0.25, AHC : 4.480769230769231, drop rate : 48
Lambda : 0.25, AHC : 1.0, drop rate : 90
Lambda : 0.25, AHC : 1.0, drop rate : 92
Lambda : 0.25, AHC : 2.0, drop rate : 88
Lambda : 0.25, AHC : 3.0869565217391304, drop rate : 54
Lambda : 0.25, AHC : 2.5217391304347827, drop rate : 54
Lambda : 0.25, AHC : 2.0, drop rate : 93
Lambda : 0.25, AHC : 2.4634146341463414, drop rate : 59
Lambda : 0.25, AHC : 2.0, drop rate : 78
Lambda : 0.25, AHC : 3.339622641509434, drop rate : 47
Lambda : 0.25, AHC : 2.0, drop rate : 80
Lambda : 0.25, AHC : 2.0, drop rate : 88
Lambda : 0.25, AHC : 2.0, drop rate : 73
Lambda : 0.25, AHC : 3.1944444444444446, drop rate : 64
Lambda : 0.25, AHC : 2.0, drop rate : 95
Lambda : 0.25, AHC : 2.511627906976744, drop rate : 57
Lambda : 0.25, AHC : 2.604651162790698, drop rate : 57
Lambda : 0.25, AHC : 2.5789473684210527, drop rate : 43
Lambda : 0.25, AHC : 3.188679245283019, drop rate : 47
Lambda : 0.25, AHC : 2.0, drop rate : 98
Lambda : 0.25, AHC : 1.0, drop rate : 93
Lambda : 0.25, AHC : 2.4107142857142856, drop rate : 44
Lambda : 0.25, AHC : 1.0, drop rate : 94
Lambda : 0.25, AHC : 2.5, drop rate : 50
Lambda : 0.25, AHC : 3.2884615384615383, drop rate : 48
Lambda : 0.25, AHC : 3.1956521739130435, drop rate : 54
Lambda : 0.25, AHC : 1.0, drop rate : 92
Lambda : 0.25, AHC : 2.52, drop rate : 50
Lambda : 0.25, AHC : 1.0, drop rate : 87
Lambda : 0.25, AHC : 3.111111111111111, drop rate : 55
Lambda : 0.25, AHC : 3.16, drop rate : 50
Lambda : 0.25, AHC : 3.238095238095238, drop rate : 58
Lambda : 0.25, AHC : 2.490566037735849, drop rate : 47
Lambda : 0.25, AHC : 2.0, drop rate : 78
Lambda : 0.25, AHC : 3.0625, drop rate : 52
Lambda : 0.25, AHC : 2.6379310344827585, drop rate : 42
Lambda : 0.25, AHC : 3.0784313725490198, drop rate : 49
Lambda : 0.25, AHC : 2.2857142857142856, drop rate : 51
Lambda : 0.25, AHC : 2.0, drop rate : 86
Lambda : 0.25, AHC : 2.0, drop rate : 84
Lambda : 0.25, AHC : 4.787878787878788, drop rate : 67
Lambda : 0.25, AHC : 2.0, drop rate : 79
Lambda : 0.25, AHC : 2.978723404255319, drop rate : 53
Lambda : 0.25, AHC : 3.111111111111111, drop rate : 46
Lambda : 0.25, AHC : 2.78, drop rate : 50
Lambda : 0.25, AHC : 2.0, drop rate : 66
Lambda : 0.5, AHC : 1.0, drop rate : 0
